Years,Population
1786,627	
1811,3800	
1840,4400	
1847,4805
1856,7200
1857,6478	
1860,7027	
1861,6700	
1863,8400
1873,13932
1877,26510
1884,36308
1897,56500
1901,70000
1903,79759
1904,79312
1905,82020
1906,86756
1907,93084
1909,100000
1914,117675
1917,130000
1920,87300
1923,117200
1925,145400
1926,153502
1927,171200
1928,179700
1929,188200
1930,217000
1931,304097
1933,388000
1937,392088
1939,445312
1941,500000
1943,32181
1944,284800
1956,525000
1959,593844
1962,649000
1967,742000
1970,817647
1973,869000
1975,900000
1976,900000
2020,1008998
2021,1028036	